Time,Device Instance,Source,Destination,Error,Trigger
2025-09-07 14:02:11.452571,Door,UNLOCKED,LOCKED,N/A,lock
2025-09-07 14:02:11.452746,Door,LOCKED,UNLOCKED,N/A,unlock
2025-09-07 14:02:11.452826,Door,UNLOCKED,OPENED,N/A,open
2025-09-07 14:02:11.452884,Door,OPENED,UNLOCKED,N/A,close
2025-09-07 14:02:11.452940,Door,UNLOCKED,LOCKED,N/A,lock
2025-09-07 14:02:11.453007,Door,N/A,N/A,"""Can't trigger event open from state LOCKED!""",open
2025-09-07 14:02:11.453147,Bulb,OFF,ON,N/A,turn_on
2025-09-07 14:02:11.453214,Bulb,ON,ON,N/A,set_brightness
2025-09-07 14:02:11.453317,Bulb,ON,ON,N/A,set_color
2025-09-07 14:02:11.453422,Outlet,OFF,ON,N/A,turn_on
2025-09-07 14:02:11.453490,Outlet,ON,OFF,N/A,turn_off
2025-09-07 14:02:11.453600,Outlet,OFF,ON,N/A,turn_on
2025-09-07 14:02:11.453705,Outlet,ON,OFF,N/A,turn_off
2025-09-07 14:02:11.453823,Sprinkler,IDLE,WATERING,N/A,turn_on
2025-09-07 14:02:11.453893,Sprinkler,WATERING,PAUSED,N/A,pause_watering
2025-09-07 14:02:11.453993,Sprinkler,PAUSED,WATERING,N/A,resume_watering
2025-09-07 14:02:11.454090,Sprinkler,WATERING,IDLE,N/A,stop_watering
2025-09-07 14:02:11.454200,Thermostat,OFF,IDLE,N/A,turn_on
2025-09-07 14:02:11.454298,Thermostat,IDLE,HEATING,N/A,check_temperature
2025-09-07 14:02:11.454393,Thermostat,HEATING,COOLING,N/A,check_temperature
2025-09-07 14:02:11.454486,Thermostat,COOLING,HEATING,N/A,check_temperature
2025-09-07 14:02:11.454575,Thermostat,HEATING,OFF,N/A,turn_off
2025-09-07 14:02:11.454669,Camera,OFF,IDLE,N/A,turn_on
2025-09-07 14:02:11.454730,Camera,IDLE,RECORDING,N/A,record
2025-09-07 14:02:11.454831,Camera,RECORDING,IDLE,N/A,stop_recording
